Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
High resolution irradiance spectrum from 300 to 1000 nm.
Thuillier et al (2004) calibration
Kurucz.harvard.edu/sun/irradiance2005/irradthuwn.br_5nm
0.5 nm FWHM Gaussian broadening
300 by 0.25 to 1000 nm
 
    nm    W/m**2/nm
  375.750  1.2334
  376.000  1.0563
  376.250  1.0945
  376.500  1.1145
  376.750  1.1013
  377.000  1.1305
  377.250  1.2353
  377.500  1.3481
  377.750  1.3979
  378.000  1.4516
  378.250  1.5158
  378.500  1.4791
  378.750  1.2896
  379.000  1.1590
  379.250  1.1564
  379.500  1.0935
  379.750  0.9945
  380.000  1.0120
  380.250  1.2116
  380.500  1.3406
  380.750  1.3100
  381.000  1.3343
  381.250  1.3033
  381.500  1.0940
  381.750  0.9913
  382.000  0.9485
  382.250  0.8933
  382.500  0.8356
  382.750  0.7200
  383.000  0.7231
  383.250  0.7065
  383.500  0.6769
  383.750  0.6946
  384.000  0.6964
  384.250  0.8611
  384.500  1.0760
  384.750  1.1518
  385.000  1.1182
  385.250  1.0967
  385.500  1.0632
  385.750  0.9520
  386.000  0.8466
  386.250  0.9632
  386.500  1.1397
  386.750  1.1185
  387.000  0.9960
  387.250  0.9053
  387.500  1.0276
  387.750  1.0841
  388.000  0.9844
  388.250  0.9592
  388.500  0.9692
  388.750  0.9279
  389.000  0.9611
  389.250  1.1352
  389.500  1.2292
  389.750  1.2558
  390.000  1.2622
  390.250  1.2261
  390.500  1.1521
  390.750  1.1811
  391.000  1.3354
  391.250  1.4218
  391.500  1.4234
  391.750  1.3655
  392.000  1.2384
  392.250  1.1342
  392.500  1.1101
  392.750  0.9553
  393.000  0.6781
  393.250  0.4485
  393.500  0.3707
  393.750  0.5239
  394.000  0.7856
  394.250  0.9494
  394.500  1.0390
  394.750  1.1894
  395.000  1.3150
  395.250  1.3680
  395.500  1.3748
  395.750  1.3624
  396.000  1.2909
  396.250  1.0528
  396.500  0.8012
  396.750  0.5620
  397.000  0.4562
  397.250  0.6467
  397.500  0.9509
  397.750  1.2360
  398.000  1.4629
  398.250  1.5503
  398.500  1.5472
  398.750  1.5858
  399.000  1.6650
  399.250  1.7156
  399.500  1.7065
  399.750  1.6547
  400.000  1.7060
  400.250  1.7830
  400.500  1.6984
  400.750  1.6248
  401.000  1.7393
  401.250  1.8077
  401.500  1.8188
  401.750  1.7938
  402.000  1.8035
  402.250  1.8221
  402.500  1.8110
  402.750  1.8325
  403.000  1.7683
  403.250  1.5974
  403.500  1.6010
  403.750  1.7861
  404.000  1.8788
  404.250  1.8157
  404.500  1.5980
  404.750  1.5089
  405.000  1.7343
  405.250  1.8076
  405.500  1.7217
  405.750  1.6469
  406.000  1.6515
  406.250  1.6184
  406.500  1.5183
  406.750  1.6078
  407.000  1.6960
  407.250  1.6520
  407.500  1.6535
  407.750  1.5909
  408.000  1.6309
  408.250  1.7694
  408.500  1.7568
  408.750  1.8182
  409.000  1.9049
  409.250  1.8645
  409.500  1.7838
  409.750  1.6647
  410.000  1.5082
  410.250  1.3641
  410.500  1.4838
  410.750  1.6880
  411.000  1.7498
  411.250  1.7931
  411.500  1.8754
  411.750  1.8954
  412.000  1.8382
  412.250  1.8302
  412.500  1.8375
  412.750  1.8068
  413.000  1.7625
  413.250  1.6881
  413.500  1.6941
  413.750  1.8379
  414.000  1.9171
  414.250  1.8053
